[5/1/2024, 12:25:20 PM]:[INFO] - [wm] already signed in?,true
[5/1/2024, 12:25:37 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/1/2024, 12:25:37 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/1/2024, 12:25:37 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTheme
[5/1/2024, 12:25:37 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[5/1/2024, 12:25:37 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 12:25:37 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:45 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/1/2024, 12:25:45 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 12:25:45 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:45 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTheme
[5/1/2024, 12:25:45 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setLocales
[5/1/2024, 12:25:45 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setEditorType
[5/1/2024, 12:25:45 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:45 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:45 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTheme
[5/1/2024, 12:25:45 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 12:25:45 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,spellingGetLanguages
[5/1/2024, 12:25:46 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 12:25:48 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 12:25:48 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/1/2024, 12:25:48 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:48 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTheme
[5/1/2024, 12:25:48 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setLocales
[5/1/2024, 12:25:48 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setEditorType
[5/1/2024, 12:25:48 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:48 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:48 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTheme
[5/1/2024, 12:25:48 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 12:25:48 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,spellingGetLanguages
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/1/2024, 12:25:52 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTheme
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setLocales
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setEditorType
[5/1/2024, 12:25:52 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:52 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTheme
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,spellingGetLanguages
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:52 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 12:25:53 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 12:25:53 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 12:25:53 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setIsLibrary
[5/1/2024, 12:25:53 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setIsTeamTemplate
[5/1/2024, 12:25:53 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:53 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:54 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:25:54 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setIsLibrary
[5/1/2024, 12:25:54 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setIsTeamTemplate
[5/1/2024, 12:25:54 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 12:25:56 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:56 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:56 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:56 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 12:25:56 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 12:25:56 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setIsLibrary
[5/1/2024, 12:25:56 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setIsTeamTemplate
[5/1/2024, 12:25:57 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:57 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:57 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:25:57 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 12:26:14 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/1/2024, 12:26:15 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 12:26:15 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:26:15 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setTheme
[5/1/2024, 12:26:15 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setLocales
[5/1/2024, 12:26:15 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setEditorType
[5/1/2024, 12:26:15 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:26:15 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 12:26:15 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setTheme
[5/1/2024, 12:26:15 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 12:26:15 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,spellingGetLanguages
[5/1/2024, 12:26:15 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 12:26:15 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 12:26:15 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:26:18 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setIsLibrary
[5/1/2024, 12:26:18 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setIsTeamTemplate
[5/1/2024, 12:26:18 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:26:18 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:26:18 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 12:26:18 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 1:20:36 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,spellingGetLanguages
[5/1/2024, 1:24:42 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 2:36:31 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 3:02:15 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 3:10:26 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 3:17:41 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 3:20:41 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:41 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:41 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:41 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:43 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:50 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:50 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:50 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:50 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:50 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:50 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:51 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:51 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:51 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:51 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:51 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:51 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:51 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:52 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:52 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:52 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:52 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:52 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:52 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:53 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:20:53 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:27:46 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 3:31:05 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:31:05 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:31:05 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:31:05 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:31:05 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:31:05 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:31:05 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,triggerHaptic
[5/1/2024, 3:34:51 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 5:50:06 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 5:50:06 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/1/2024, 5:50:07 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 5:50:07 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 5:50:07 PM]:[WARN] - [From web content: 13],[desktop] Unhandled message,setTheme
[5/1/2024, 5:50:07 PM]:[WARN] - [From web content: 13],[desktop] Unhandled message,setLocales
[5/1/2024, 5:50:07 PM]:[WARN] - [From web content: 13],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 5:50:07 PM]:[WARN] - [From web content: 13],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 5:50:11 PM]:[ERROR] - uncaughtException: ,{"name":"TypeError","message":"Cannot read properties of undefined (reading 'id')","stack":"TypeError: Cannot read properties of undefined (reading 'id')\n    at ve.getById (/opt/figma-linux/resources/app.asar/main/main.js:1:27527)\n    at Me.getTabInfo (/opt/figma-linux/resources/app.asar/main/main.js:1:33438)\n    at registeredCancelCallbackMap.handleCloseTab (/opt/figma-linux/resources/app.asar/main/main.js:1:52080)\n    at registeredCancelCallbackMap.closeTab (/opt/figma-linux/resources/app.asar/main/main.js:1:55960)\n    at IpcMainImpl.emit (node:events:514:28)\n    at WebContents.<anonymous> (node:electron/js2c/browser_init:2:88262)\n    at WebContents.emit (node:events:514:28)"}
[5/1/2024, 5:50:16 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/1/2024, 5:50:16 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTabPreviewData
[5/1/2024, 5:50:17 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 5:50:17 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTheme
[5/1/2024, 5:50:17 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setLocales
[5/1/2024, 5:50:17 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setEditorType
[5/1/2024, 5:50:17 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 5:50:17 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[5/1/2024, 5:50:17 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setTheme
[5/1/2024, 5:50:17 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,getKeyboardLayout
[5/1/2024, 5:50:17 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,spellingGetLanguages
[5/1/2024, 5:50:17 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setIsLibrary
[5/1/2024, 5:50:17 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setIsTeamTemplate
[5/1/2024, 5:50:18 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 5:50:19 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,setRealtimeToken
[5/1/2024, 5:50:19 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 5:50:20 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,getActiveNSScreens
[5/1/2024, 5:50:20 PM]:[WARN] - [From web content: 14],[desktop] Unhandled message,getActiveNSScreens
